occupation	zip	radius	recency	job type	salary	description	job title	company	city	state	location	source	post date	url
software engineer	10001	30	100	fulltime	0	About us: Syntel INC. - Nationwide leading IT Outsourcing, IT consulting, and BPO firm offering managed IT services, Enterprise Business Solutions and Collaborative client partnerships. “Small enough to listen, Big enough to deliver”…. Let me brief you about this fast growing IT Corporation. We are into IT Application &amp; outsourcing. We are NASDAQ listed, and CMM Level 5 Co. We have been in the industry since 1980. Our revenue is estimated at $ 824 million with the staff strength of 23,000 + Global Workforce. Syntel partners with leading corporations across banking &amp; financial services, insurance, healthcare, life sciences, retail, logistics and manufacturing. The Company leverages dedicated vertical and service Centers of Excellence along with a flexible Global Delivery Model to deliver solutions that drive innovation, improve quality and reduce costs for Global 2000 clients. Our Development centers are situated across the Globe - USA (Arizona, Tennessee, Maryland, Oregon, North Carolina, New York, and Michigan), Germany, Singapore, UK, and India. Title: Software Engineer – Entry Level (Java) Location: New York, NY Duration: Full Time (Permanent) Job Description: Responsibilities include: Supporting technology projects throughout the planning and delivery cycles. Deliver software development improvements. Support the development of Syntel’s best practices. Qualifications include: Bachelors, or Master’s Degree in Computer Science or related field. Excellent verbal communication and written, with active listening and summarization skills. Knowledge and experience of gathering data for requirements and use case development. Research and gather both business and technology requirements to support project initiatives. Perform analysis of existing or new processes to determine how to best enable and implement. Respond to Intersystem impact requests to get the impacted stake holders. Work closely with a highly synergized team of Project Managers and Technical resources. Ensure comprehensive, timely and quality delivery of all requests. Works with business facing analysis to determine and translate business requirements into technology solutions. Lead end-to-end research and analysis across multiple teams. Work closely with clients/customers to ensure alignment on technical solution. Ensure that all documentation meets/aligns with required compliance standards. Coordinate and monitor end-to-end testing activities. Responsible for the quality of deliverables in terms of the analysis report, technical design documentation, and the adherence to technical compliance standards. Excellent judgmental, interpersonal, communication skills and follow through. Active listening and summarization skills. Proactively influencing, advising, and collaborating with Business and Technologies partners at all levels. Willingness to relocate. Experience with any software technology: C++, JAVA, .net is a plus. Previous Internship preferred All selected candidates will go through training related to Java technologies post which they will be absorbed into active project. Job Type: Full-time 	Software Engineer – Entry Level (Java)	Syntel Inc.	New York	NY	New York, NY	Indeed	Fri, 06 Nov 2015 22:42:59 GMT	http://www.indeed.com/viewjob?jk=313bd51efd4cf1dc&qd=Ag27krUCoaLJuWVlpFUHKktjrbXDUsGzyMoJ22wuFmuYgLKVtEhVAIpOvFFnlsacaqP1atIlMmY_bmEfJLkdXRMQli-LAMxEbxPM0buaSa1xeE6aGQRf_Z38iZ1OcYgPJLdCwlcv60Ip7jH1uO3v5g&indpubnum=1018862029525284&atk=1a3ke1ht519u35p7
software engineer	10001	30	100	fulltime	0	Rapidly growing proprietary trading firm with five offices in Chicago, London, New York City, Ottawa, and Sydney, seeks to add a Software Engineers to join our growing New York office to develop systems that will contribute to our low-latency trading platform. Successful applicants for this position will be working closely with traders, quants and other software engineers to implement and extend the different parts of our trading infrastructure including low-latency trade execution services, tick data infrastructure, database service layers, exchange connections, back testing systems, GUIs, risk management systems, calculation and modeling engines and compliance monitoring tools. The applicant will use modern software tools in an agile project management process with a focus on continuous integration and regression testing to build highly performant code in a Linux environment. This position will be located in the New York office. Our management philosophy encourages creativity and independent thinking while balancing teamwork and cooperation. Members of our teams are provided cutting-edge technology for competing in this challenging trading environment. Rewards are based on merit and productivity. Management is approachable and available for direction and/or support. Education: Bachelor’s Degree from a 4-year university Degree in Computer Science, Electrical Engineering or any quantitative focused field Strong GPA (3.5 or higher) Required Skills: Core proficiency in C++11, preferably on a Linux platform C# knowledge is a plus Solid knowledge of object-oriented programming and design Experience with multithreading, real-time systems and socket programming Ultra-low latency programming experience Experience with scripting languages, such as Python or Ruby Excellent communication skills Demonstrated problem-solving skills and attention to detail Experience in finance or trading is a definite plus A self-motivated individual with a passion for working in a trading organization Please note only individuals whose qualifications match our current needs will be contacted for additional screening and/or interviews. Thank you for your interest in XR Trading. Required Skills Required Experience	Software Engineer - New York	XR Trading LLC	New York	NY	New York, NY	XR Trading LLC	Sat, 07 Nov 2015 08:03:22 GMT	http://www.indeed.com/viewjob?jk=f78f9a532aa4de11&qd=Ag27krUCoaLJuWVlpFUHKktjrbXDUsGzyMoJ22wuFmuYgLKVtEhVAIpOvFFnlsacaqP1atIlMmY_bmEfJLkdXRMQli-LAMxEbxPM0buaSa1xeE6aGQRf_Z38iZ1OcYgPJLdCwlcv60Ip7jH1uO3v5g&indpubnum=1018862029525284&atk=1a3ke1ht519u35p7
software engineer	10001	30	100	fulltime	0	Our engineering teams are responsible for the services and infrastructure that connect hundreds of millions of active Twitter users to real-time information about what’s relevant in their lives and the world we live in. We work on some of the world’s largest distributed systems – our core infrastructure receives hundreds of millions of tweets per day and serves tens of billions of API requests, all with an uptime in excess of 99.9%. Our other systems operate at a similarly staggering scale: we serve over 2 billion search queries per day, render hundreds of millions of ad impressions, and process hundreds of terabytes of log and interaction data daily. As a systems engineer at Twitter, you will help us build, scale and maintain these systems, all of which have a direct impact on the lives of our users and the success of our business. We are looking for a number of passionate, talented, entrepreneurial engineers to join the team in New York City to help us build the best platform systems possible. Responsibilities: Build and maintain low latency high performance scalable systems Improve the reliability and efficiency of Twitter's core systems Work in a collaborative manner with team members in remote offices Develop elegant solutions to complex problems Be awesome in developing JVM services (Scala, Java) Balance out your desire to ship code with your responsibility to get it right Requirements: Extensive experience with web infrastructure, distributed systems, performance analysis, search infrastructure and/or large-scale data processing Experience with software engineering best practices (e.g. unit testing, code reviews, design documentation) Strong algorithms and data structures background BS, MS, or PhD in Computer Science or equivalent work experience For engineers who will work on audio/video systems, significant C/C++ expertise required Desired: Active user of Twitter Open source contributor	Software Engineer - New York	Twitter	New York	NY	New York, NY	Twitter	Thu, 05 Nov 2015 10:56:16 GMT	http://www.indeed.com/viewjob?jk=b6015e868297b6b7&qd=Ag27krUCoaLJuWVlpFUHKktjrbXDUsGzyMoJ22wuFmuYgLKVtEhVAIpOvFFnlsacaqP1atIlMmY_bmEfJLkdXRMQli-LAMxEbxPM0buaSa1xeE6aGQRf_Z38iZ1OcYgPJLdCwlcv60Ip7jH1uO3v5g&indpubnum=1018862029525284&atk=1a3ke1ht519u35p7
software engineer	10001	30	100	fulltime	0	Syntel INC. - Nationwide leading IT Outsourcing, IT consulting, and BPO firm offering managed IT services, Enterprise Business Solutions and Collaborative client partnerships. “Small enough to listen, Big enough to deliver”…. Let me brief you about this fast growing IT Corporation. We are into IT Application &amp; outsourcing. We are NASDAQ listed, and CMM Level 5 Co. We have been in the industry since 1980. Our revenue is estimated at $ 824 million with the staff strength of 23,000 + Global Workforce. Syntel partners with leading corporations across banking &amp; financial services, insurance, healthcare, life sciences, retail, logistics and manufacturing. The Company leverages dedicated vertical and service Centers of Excellence along with a flexible Global Delivery Model to deliver solutions that drive innovation, improve quality and reduce costs for Global 2000 clients. Our Development centers are situated across the Globe - USA (Arizona, Tennessee, Maryland, Oregon, North Carolina, New York, and Michigan), Germany, Singapore, UK, and India. Title: Software Engineer (Java)– Entry Level Location: NYC, NY Duration: Full Time (Permanent) Job Description: Responsibilities include: Supporting technology projects throughout the planning and delivery cycles. Deliver software development improvements. Support the development of Syntel’s best practices. Qualifications include: Bachelors, or Master’s Degree in Computer Science or related field. Excellent verbal communication and written, with active listening and summarization skills. Knowledge and experience of gathering data for requirements and use case development. Research and gather both business and technology requirements to support project initiatives. Perform analysis of existing or new processes to determine how to best enable and implement. Respond to Intersystem impact requests to get the impacted stake holders. Work closely with a highly synergized team of Project Managers and Technical resources. Ensure comprehensive, timely and quality delivery of all requests. Works with business facing analysis to determine and translate business requirements into technology solutions. Lead end-to-end research and analysis across multiple teams. Work closely with clients/customers to ensure alignment on technical solution. Ensure that all documentation meets/aligns with required compliance standards. Coordinate and monitor end-to-end testing activities. Responsible for the quality of deliverables in terms of the analysis report, technical design documentation, and the adherence to technical compliance standards. Excellent judgmental, interpersonal, communication skills and followthrough. Active listening and summarization skills. Proactively influencing, advising, and collaborating with Business and Technologies partners at all levels. Willingness to relocate. Experience with any software technology: C++, JAVA, .net is a plus. All selected candidates will go through training related to testing technologies post which they will be absorbed into active project. Required education: Bachelor's 	Software Engineer_Entry Level_Full time	SYNTEL INC	New York	NY	New York, NY	Indeed	Thu, 05 Nov 2015 16:17:46 GMT	http://www.indeed.com/viewjob?jk=847614cfcf16cf60&qd=Ag27krUCoaLJuWVlpFUHKktjrbXDUsGzyMoJ22wuFmuYgLKVtEhVAIpOvFFnlsacaqP1atIlMmY_bmEfJLkdXRMQli-LAMxEbxPM0buaSa1xeE6aGQRf_Z38iZ1OcYgPJLdCwlcv60Ip7jH1uO3v5g&indpubnum=1018862029525284&atk=1a3ke1ht519u35p7
software engineer	10001	30	100	fulltime	0	Square is looking for talented engineers to be integral members of the NYC Engineering office. As a member of the New York office, you will also be front and center when it comes to representing our office, and Square, here on the East Coast. We're a small team located in SoHo, and defining the culture of what is our largest engineering office after Square’s headquarters in San Francisco. We build beautiful mobile/web apps and create highly available services that form complex distributed systems. If you love delivering product driven software, we want to hear from you! You have: Strong coding skills and Computer Science fundamentals Analytical problem solving skills The ability to make pragmatic engineering decisions in a short amount of time SQL experience Even better: Open source contributions TDD and pair programming experience Technologies we use and teach : Ruby, JRuby, Rails Java, Jetty, protobufs, JSON MySQL, Redis, HBase, Hadoop, and Kafka JavaScript, jQuery, Ember.js, Sass, and CoffeeScript Projects we work on: Register: our point of sale. Everything a seller needs to start, run, and grow their business. Market: our online store. The easiest place for buyers to discover and purchase anything, helping local businesses grow. Payments: building a beautiful, friction-free checkout experience. Analytics and reporting: accounting for, visualizing, and enabling business growth. Growth: acquiring and retaining high quality sellers. Merchant Dashboard: our merchant facing web app provides exceptional business and customer management tools At Square, we value diversity and always treat all employees and job applicants based on merit, qualifications, competence, and talent. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance. 	Software Engineer - New York	Square	New York	NY	New York, NY	Square	Mon, 02 Nov 2015 16:28:00 GMT	http://www.indeed.com/viewjob?jk=040f47ddb1ae4268&qd=Ag27krUCoaLJuWVlpFUHKktjrbXDUsGzyMoJ22wuFmuYgLKVtEhVAIpOvFFnlsacaqP1atIlMmY_bmEfJLkdXRMQli-LAMxEbxPM0buaSa1xeE6aGQRf_Z38iZ1OcYgPJLdCwlcv60Ip7jH1uO3v5g&indpubnum=1018862029525284&atk=1a3ke1ht519u35p7
software engineer	10001	30	100	fulltime	0	Bluecore is an NYC based startup. Our eCommerce personalization platform analyzes billions of eCommerce behavioral events -in real time- per month. With a team of just four engineers, we've built products that are used by some of the biggest eCommerce sites and international brands. We believe in hiring for potential, rather than a high correlation of pure skill-sets for the roles we have. Having said that, our technology stack on the back end is in Python on Google App Engine. Our front-end integration is in JavaScript and Coffeescript. We have also developed a domain specific language to describe eCommerce personalization in terms of predicates on customers and products. We build many internal and customer facing tools, including an innovative template editing CMS on top of Github. Even though our first application is currently focused on email, we are a company that deals with massive amounts of data. We ingest massive amounts of data about customers, and the products they look at, the size, color, brand etc - and process all of that in real time! ** Why work at Bluecore? 1. We handle very large real time datasets; we're 18 months old and have a 12TB well structured dataset. 2. Our engineers are given large responsibilities. We consider them smart creatives not shackled with 4-hour tasks. 3. We have about 700 unit tests. We parallelize them on many machines to ensure that the test suite always runs in under 3 minutes. 4. We handle many thousands of requests per second, but that increases every day as we grow. 5. We deploy many many times to production every day. Requirements SKILLS Python, Javascript, E-Commerce, Google App Engine, General Software Hardcore-Ness Benefits Highly competitive compensation package and opportunity to work for one of the fastest growing start-ups in New York City. Laid-back office, casual attire. Jeans and a t-shirt always OK, though we have some pretty snappy dressers on this team. The choice is yours. Free breakfast, lunch, snacks, drinks. Ergonomic desk options from top to bottom. Monthly fitness stipend. Yoga, CrossFit, Spin… your choice. Monthly NYC metro card (or similar public transit pass) paid for. You’ll receive the computer of your choice with appropriate software installed to complete your work. A culture we care about deeply. People should be happy in their jobs and lives. There is a balance to strike to achieve this and we respect it. Full medical, dental and vision benefits program. 	Software Engineer	Bluecore	New York	NY	New York, NY	Bluecore	Sat, 24 Oct 2015 14:29:00 GMT	http://www.indeed.com/viewjob?jk=b8bda73a1c6093e9&qd=Ag27krUCoaLJuWVlpFUHKktjrbXDUsGzyMoJ22wuFmuYgLKVtEhVAIpOvFFnlsacaqP1atIlMmY_bmEfJLkdXRMQli-LAMxEbxPM0buaSa1xeE6aGQRf_Z38iZ1OcYgPJLdCwlcv60Ip7jH1uO3v5g&indpubnum=1018862029525284&atk=1a3ke1ht519u35p7
software engineer	10001	30	100	fulltime	0	About the New York Genome Center The New York Genome Center (NYGC) is an independent, non-profit organization that leverages the collaborative resources of leading academic medical centers, research universities, and commercial organizations. Our vision is to transform medical research and clinical care in New York and beyond through the creation of one of the largest genomics facilities in North America, integrating sequencing, bioinformatics, and data management, as well as performing cutting-edge genomics research. The New York Genome Center is a VEVRAA Federal Contractor. All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, national origin, age, disability, or protected veteran status. The New York Genome Center takes affirmative action in support of its policy to and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities. Position Description: The incumbent will support our rapidly expanding informatics division in developing high-throughput pipelines and large-scale data management systems. The ideal candidate will be a pragmatic team player with experience developing and supporting software for scientific applications, including analysis pipelines, large-scale data repositories, LIMS, and data privacy. Job duties will include, but are not limited to: Collaborate with bioinformatics scientists, users, and stakeholders to define requirements and specifications for data processing pipelines and analysis tools, accessing and managing scientific data, delivering data to customers, or providing input on usability and testability; Prototype, develop, deploy, document, and support production-quality, fault-tolerant, high-performance software; Perform root-cause analysis on problems, recommend solutions and improvements to the team, as well as validate and document code changes; Provide reliable estimates for tasks; Develop expertise in the scientific and computational resources of the center. Required Skills BS in Computer Science, computer engineering, or related field plus 2-3 years related experience; master’s degree plus 1 year related experience, or equivalent combination of education and experience; Demonstrated ability to design and build large-scale software systems, and to produce readable, documented code; Ability to work independently to deliver quality code under tight deadlines; Proficiency in Java, Scala, or similar languages; Experience with version control and source code management systems (e.g.,GIT); Experience with agile programming techniques; Excellent communication skills and proven ability to work directly with customers to understand their needs and translate those into actionable software requirements; Ability to make decisions with incomplete information and produce results in a timely fashion; Must be able to work in a fast-paced, start-up like environment. Required Experience	Software Engineer II	New York Genome Center	New York	NY	New York, NY	New York Genome Center	Sun, 08 Nov 2015 07:45:57 GMT	http://www.indeed.com/viewjob?jk=ffb25dd44f7b5906&qd=Ag27krUCoaLJuWVlpFUHKktjrbXDUsGzyMoJ22wuFmuYgLKVtEhVAIpOvFFnlsacaqP1atIlMmY_bmEfJLkdXRMQli-LAMxEbxPM0buaSa1xeE6aGQRf_Z38iZ1OcYgPJLdCwlcv60Ip7jH1uO3v5g&indpubnum=1018862029525284&atk=1a3ke1ht519u35p7
software engineer	10001	30	100	fulltime	0	American Express is embarking on an exciting transformation driven by an energetic new team of high performers. This group is nimble and creative with the power to shape our technology and product roadmap. If you have the talent and desire to deliver innovative payment products and services at a rapid pace, serving our customers seamlessly across physical, digital, mobile, and social media, join our transformation team! Software Engineers that join our Technologies team can be assigned to one of several exciting teams that are developing new virtual Internet-based payment solutions, customer service portals, online merchant services support and integration, credit management tools, and suites of web-based applications for cardmember targeted offers that will span over 20 international markets. You will be part of a fast-paced, entrepreneurial team responsible for delivering world-class cardmember experiences across multiple channels, including native iOS, Android, web, social integration, Java services, and APIs. You will be challenged with identifying innovative ideas and proof of concept to deliver against the existing and future needs of our customers. Responsibilities include, but are not limited to: S erving as a core member of an engineering team that designs and develops software applications and builds automation tools for testing Writing code and tests, working on API specs, automation, and conducting code reviews and testing Identifying exciting opportunities for adopting new technologies to solve existing needs and predicting future challenges Performing ongoing refactoring of code, utilizing visualization and other techniques to fast-track concepts, and delivering continuous improvement Working with product managers to prioritize features for ongoing sprints and managing a list of technical requirements based on industry trends, new technologies, known defects, and issues Qualifications Qualifications : This high energy Engineer must have: Bachelor's or Master's degree in computer science, computer engineering, or other technical discipline, or equivalent work experience 4+ years of software development experience and preferably a BS or MS degree in computer science, computer engineering, or other technical discipline Demonstrated experience in Agile development, application design, software development, and testing Thorough understanding of XML, JSON, Web Service technologies, and data structure fundamentals Experience with Java applications design and development in an Enterprise setting using J2EE, Spring, SQL DBMS’s desired Expertise in Objected Oriented Analysis and Design across a variety of platforms A proven hunger to learn new technologies and translate them into working software Ability to effectively communicate to internal and external business partners on solution design Experience with HTML/XHTML, CSS, JavaScript, and Software Version Control Systems (such as svn, git) required Experience with JavaScript Libraries (such as jQuery, GWT, Dojo, AngularJS), API’s, Search Engine Optimization, Web Page Optimization strategies desired Experience with adaptive and responsive techniques Internationalization (I18N) and Localization (L10N) experience is a plus Experience with a broad range of software languages and payments technologies is a plus Experience with design and coding using ETL tools is a plus Experience with test automation, DevOps and Test Driven Development is a plus American Express is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability status, or any other status protected by law. “Click here to view the " EEO is the Law " poster”. If the link does not work, please copy and paste the following URL in a new browser window: http://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm . ReqID: 15011032	Software Engineer	American Express	New York	NY	New York, NY	American Express	Sat, 07 Nov 2015 00:05:21 GMT	http://www.indeed.com/viewjob?jk=e85f1ec62ec07657&qd=Ag27krUCoaLJuWVlpFUHKktjrbXDUsGzyMoJ22wuFmuYgLKVtEhVAIpOvFFnlsacaqP1atIlMmY_bmEfJLkdXRMQli-LAMxEbxPM0buaSa1xeE6aGQRf_Z38iZ1OcYgPJLdCwlcv60Ip7jH1uO3v5g&indpubnum=1018862029525284&atk=1a3ke1ht519u35p7
software engineer	10001	30	100	fulltime	0	Each year, Meetup hires exceptional entry-level Software Engineers to work on a platform that helps millions of people worldwide build local community. Depending on your specialty and interest, you’ll work on web, data science, mobile app, or core software engineering. In addition, you’ll be mentored by an experienced member of your team as you get up to speed. Meetup uses a hybrid software stack of Python, JavaScript, Java, and Scala. We’re committed to building a flexible and intelligent platform that allows local community to thrive in a productive, rewarding, and positive learning environment. We’re also passionate about building community inside Meetup HQ, and plan activities for each class of new grads to help them meet their teammates. That’s in addition to the company-wide rooftop BBQs, happy hours, and many other community events that make up the unique culture of Meetup HQ! General Requirements: BS or MS in Computer Science (or related discipline) graduating between December 2015 and June 2016 A solid foundation in data structures and algorithms Understanding of the software development life-cycle Experience with relational databases a plus Open positions: UI Engineer (front end) Full Stack Engineer Core Engineer (backend) iOS Engineer Android Engineer Our team is smart, ambitious, supportive, and above all- we are excited by what we do. While meeting regular deadlines and being focused on quick, quality completion of projects, the environment is relaxed and fun. If the above describes you and your passions, we’d love to hear from you!	Software Engineers, Recent Grad	Meetup	New York	NY	New York, NY	Meetup	Sat, 07 Nov 2015 00:47:43 GMT	http://www.indeed.com/viewjob?jk=872032fa6140880f&qd=Ag27krUCoaLJuWVlpFUHKktjrbXDUsGzyMoJ22wuFmuYgLKVtEhVAIpOvFFnlsacaqP1atIlMmY_bmEfJLkdXRMQli-LAMxEbxPM0buaSa1xeE6aGQRf_Z38iZ1OcYgPJLdCwlcv60Ip7jH1uO3v5g&indpubnum=1018862029525284&atk=1a3ke1ht519u35p7
software engineer	10001	30	100	fulltime	0	Twitter connects hundreds of millions of users to real-time information about the world we live in. The New York engineering team is developing new products and technology to provide users with timely, relevant and personalized information. We’re incorporating the Twitter social graph which is a massive corpus of real-time information, and numerous interesting data signals. Behind the scenes, we are building highly scalable distributed systems, and the algorithms necessary to make sense of all this data — all within a matter of milliseconds. Every day we are pushing the boundaries, we work with data at a scale that is unmatched, impacting millions of lives around the world every second. We are looking for talented people to join our small, entrepreneurial New York team to help make Twitter the best source of real-time content in the world. We are looking for Mobile Engineers to join our New York team to help make Twitter the best source of real-time content in the world. Responsibilities: Build exciting experiences around search and discover on Twitter's iPhone and iPad clients Work closely with other engineering teams, product management and design Rapidly fix bugs and solve problems Conduct design and code reviews Proactively look for ways to make Twitter better Requirements: BS or MS in Computer Science or equivalent work experience Excellent OO programming skills in Objective-C Experience building applications in memory and bandwidth-constrained systems Passion for delivering great user experience Experience tuning performance of client applications Strong communication and documentation skills Desired: iOS SDK experience Ability to innovate and partner with our design team to build multiple prototypes quickly Experience releasing successful mobile applications to the Apple App store or Android Marketplace Experience with multiple mobile platforms Active user of Twitter Active Twitter API developer	iOS, Software Engineer (New York)	Twitter	New York	NY	New York, NY	Twitter	Thu, 05 Nov 2015 10:56:51 GMT	http://www.indeed.com/viewjob?jk=49a7cb9e05bedf1c&qd=Ag27krUCoaLJuWVlpFUHKktjrbXDUsGzyMoJ22wuFmuYgLKVtEhVAIpOvFFnlsacaqP1atIlMmY_bmEfJLkdXRMQli-LAMxEbxPM0buaSa1xeE6aGQRf_Z38iZ1OcYgPJLdCwlcv60Ip7jH1uO3v5g&indpubnum=1018862029525284&atk=1a3ke1ht519u35p7
